,Title,Author,Media
155,愛する源氏物語(15)夕霧の初恋,俵 万智,"文芸春秋 79(3), 257-260,図中付1p, 2001-03"
156,3倍体LAハイブリッドユリ品種'ゆうこの初恋'の育成,"岡田 昌久,新田 益男,松本 満夫","高知県農業技術センター研究報告 = Bulletin of the Kochi Agricultural Research Center (10), 27-32, 2001-03"
157,大人になった僕が初恋の君に出す手紙 (手紙の文章教室),みうら じゅん,"小説tripper : トリッパー 2001(冬季), 178-181, 2001"
158,リレー対談 21世紀の食のあり方を求めて 初恋の味から21世紀の健康作りへ,"越智 宏倫,武藤 高義","Food style 21 4(12), 31-38, 2000-12"
159,島崎藤村「初恋」について,青井 成仁,"解釈 46(11・12), 49-53, 2000-11"
160,水のこぼれ話(49)初恋,秋山 キャロル・ホイ,"浄化槽 (295), 50-53, 2000-11"
161,私の新刊『悪ガキコンビ初恋大作戦』辻邦--わたしの「東京」物語,辻 邦,"こどもの本 26(10), 2, 2000-10"
162,田中真紀子大研究 その実像と金脈(総集編)初恋、年収、夫婦仲… マル秘エピソード公開,,"週刊宝石 20(34), 184-187, 2000-09-21"
163,音楽で逢いましょう(5)初恋のメンデルスゾーン(後篇),山本 益博,"音楽の友 58(5), 52-54, 2000-05"
164,新・値段考(47)初恋の人を捜してほしい--「探偵」に頼むと何万円くらいかかる?,高橋 孝輝,"たしかな目 (165), 20-23, 2000-04"
165,連載 音楽で逢いましょう(4)初恋のメンデルスゾーン(前編),山本 益博,"音楽の友 58(4), 36-38, 2000-04"
166,劇評 悪夢で会いましょう(唐組=秘密の花園、MONO=--初恋、維新派=水街、PM/飛ぶ教室=水嶋さんのストライキ),岡野 宏文,"テアトロ (690), 62-65, 2000-01"
167,黄金座の物語(8)『絹代の初戀』,太田 和彦,"本の窓 22(4), 26-33, 1999-05"
168,MIND SCAPE 初恋は、つづく。,,"セキュリタリアン (481), 1, 1999-01"
169,日本人百景(2)ペドロの初恋の相手は…,村上 アラン 英介,"世界週報 79(38), 44-47, 1998-10-20"
170,"外国映画紹介--アサシンズ,ウワサの真相 ワグ・ザ・ドッグ,スフィア,絶体×絶命,ツイン・タウン,バタフライ・キス,初恋,ベルニ-",,"キネマ旬報 (1259), 213-218, 1998-07"
171,わたしの昭和史(第31回)初恋,西尾 幹二,"正論 (310), 208-221, 1998-06"
172,モラエスの生涯(4)--初恋の人マリア・イザベル,岡村 多希子,"東京外国語大学論集 (56), 39-56, 1998-03"
173,"The Mill on the Flossにおける""Maggie Tries To Run Away from Her Shadow""の章をめぐる一考察",渡部 和子,"サイコアナリティカル英文学論叢 1998(19), 15-28,44, 1998"
174,"座談会 空想美少女をめぐる妄想座談会(2) (空想美少女読本--モニタ-画面で出会った,禁断の初恋女性100人)",,"別冊宝島 (349), 148-150, 1997-12"
